n,p,th,u,e,Tp,T1,Sp=T1/Tp,eff=Sp/p
16,1,36,6.135241E-02,1.018340E+00,2.392000E-03,1.021000E-03,4.268395E-01,4.268395E-01
16,2,18,6.135241E-02,1.038974E+00,1.427000E-03,1.021000E-03,7.154870E-01,3.577435E-01
16,3,12,6.096363E-02,1.038974E+00,1.049000E-03,1.021000E-03,9.733079E-01,3.244360E-01
16,6,6,6.135241E-02,1.038974E+00,6.460900E-02,1.021000E-03,1.580275E-02,2.633792E-03
16,12,3,6.135241E-02,1.038974E+00,7.205200E-02,1.021000E-03,1.417032E-02,1.180860E-03
16,18,2,6.135241E-02,1.038974E+00,8.592000E-02,1.021000E-03,1.188315E-02,6.601748E-04
16,36,1,6.135241E-02,1.038974E+00,1.879900E-01,1.021000E-03,5.431140E-03,1.508650E-04
32,1,36,6.211444E-02,1.038172E+00,3.066000E-03,4.090000E-03,1.333986E+00,1.333986E+00
32,2,18,6.211444E-02,1.043379E+00,2.109000E-02,4.090000E-03,1.939308E-01,9.696539E-02
32,3,12,6.221244E-02,1.028262E+00,1.529000E-03,4.090000E-03,2.674951E+00,8.916503E-01
32,6,6,6.201675E-02,1.038618E+00,6.291800E-02,4.090000E-03,6.500524E-02,1.083421E-02
32,12,3,6.211444E-02,1.043379E+00,3.306700E-02,4.090000E-03,1.236883E-01,1.030736E-02
32,18,2,6.211444E-02,1.043379E+00,5.378100E-02,4.090000E-03,7.604916E-02,4.224953E-03
32,36,1,6.221244E-02,1.043379E+00,5.219950E-01,4.090000E-03,7.835324E-03,2.176479E-04
64,1,36,6.237899E-02,1.037334E+00,6.161000E-03,1.963200E-02,3.186496E+00,3.186496E+00
64,2,18,6.240352E-02,1.044056E+00,6.043000E-03,1.963200E-02,3.248718E+00,1.624359E+00
64,3,12,6.233067E-02,1.044056E+00,3.449000E-03,1.963200E-02,5.692085E+00,1.897362E+00
64,6,6,6.242807E-02,1.045246E+00,6.398800E-02,1.963200E-02,3.068075E-01,5.113459E-02
64,12,3,6.242807E-02,1.044056E+00,4.225900E-02,1.963200E-02,4.645638E-01,3.871365E-02
64,18,2,6.240352E-02,1.045246E+00,6.946900E-02,1.963200E-02,2.826009E-01,1.570005E-02
64,36,1,6.242807E-02,1.045246E+00,5.030160E-01,1.963200E-02,3.902858E-02,1.084127E-03
256,1,36,6.248941E-02,1.046681E+00,5.900700E-02,2.317760E-01,3.927941E+00,3.927941E+00
256,2,18,6.248332E-02,1.046376E+00,5.782400E-02,2.317760E-01,4.008301E+00,2.004151E+00
256,3,12,6.249550E-02,1.046606E+00,4.164700E-02,2.317760E-01,5.565251E+00,1.855084E+00
256,6,6,6.249550E-02,1.046681E+00,9.343200E-02,2.317760E-01,2.480692E+00,4.134486E-01
256,12,3,6.249397E-02,1.046681E+00,7.431400E-02,2.317760E-01,3.118874E+00,2.599062E-01
256,18,2,6.249550E-02,1.046606E+00,1.019650E-01,2.317760E-01,2.273094E+00,1.262830E-01
256,36,1,6.249550E-02,1.046681E+00,5.840190E-01,2.317760E-01,3.968638E-01,1.102399E-02
512,1,36,6.249849E-02,1.046795E+00,1.806790E-01,8.856450E-01,4.901759E+00,4.901759E+00
512,2,18,6.248820E-02,1.046795E+00,1.908570E-01,8.856450E-01,4.640359E+00,2.320180E+00
512,3,12,6.249888E-02,1.046675E+00,1.394420E-01,8.856450E-01,6.351350E+00,2.117117E+00
512,6,6,6.249162E-02,1.046717E+00,1.441460E-01,8.856450E-01,6.144083E+00,1.024014E+00
512,12,3,6.249849E-02,1.046871E+00,1.253180E-01,8.856450E-01,7.067181E+00,5.889318E-01
512,18,2,6.249888E-02,1.046851E+00,1.434800E-01,8.856450E-01,6.172602E+00,3.429224E-01
512,36,1,6.249888E-02,1.046871E+00,6.009990E-01,8.856450E-01,1.473621E+00,4.093393E-02
1024,1,36,6.249924E-02,1.046972E+00,7.094470E-01,3.769123E+00,5.312762E+00,5.312762E+00
1024,2,18,6.249905E-02,1.046971E+00,5.954600E-01,3.769123E+00,6.329767E+00,3.164883E+00
1024,3,12,6.249953E-02,1.046965E+00,4.875760E-01,3.769123E+00,7.730329E+00,2.576776E+00
1024,6,6,6.249810E-02,1.046971E+00,3.794290E-01,3.769123E+00,9.933671E+00,1.655612E+00
1024,12,3,6.249972E-02,1.046976E+00,3.781620E-01,3.769123E+00,9.966953E+00,8.305794E-01
1024,18,2,6.249972E-02,1.046976E+00,4.917630E-01,3.769123E+00,7.664511E+00,4.258062E-01
1024,36,1,6.249972E-02,1.046976E+00,1.922984E+00,3.769123E+00,1.960039E+00,5.444552E-02
2048,1,36,6.249988E-02,1.047023E+00,2.837266E+00,1.609186E+01,5.671607E+00,5.671607E+00
2048,2,18,6.249962E-02,1.047017E+00,2.460624E+00,1.609186E+01,6.539747E+00,3.269873E+00
2048,3,12,6.249993E-02,1.047018E+00,1.735066E+00,1.609186E+01,9.274493E+00,3.091498E+00
