n,p,th,u,e,Tp,Sp=T1/Tp,eff=Sp/p,T1
16,1,2,6.096363E-02,1.038974E+00,5.440000E-04,1.325368E+00,1.325368E+00,7.210000E-04
16,1,3,6.096363E-02,1.019947E+00,9.550000E-04,7.549738E-01,7.549738E-01,7.210000E-04
16,1,4,6.135241E-02,1.038974E+00,9.550000E-04,7.549738E-01,7.549738E-01,7.210000E-04
16,1,6,6.135241E-02,1.038974E+00,9.550000E-04,7.549738E-01,7.549738E-01,7.210000E-04
16,1,8,6.096363E-02,9.713771E-01,9.320000E-04,7.736052E-01,7.736052E-01,7.210000E-04
16,1,12,6.135241E-02,1.038974E+00,1.381000E-03,5.220854E-01,5.220854E-01,7.210000E-04
16,1,16,6.135241E-02,1.038974E+00,1.636000E-03,4.407090E-01,4.407090E-01,7.210000E-04
16,1,18,6.135241E-02,1.018340E+00,1.623000E-03,4.442391E-01,4.442391E-01,7.210000E-04
16,1,36,6.135241E-02,1.038974E+00,2.445000E-03,2.948875E-01,2.948875E-01,7.210000E-04
16,2,1,6.135241E-02,1.038974E+00,1.305300E-02,5.523634E-02,2.761817E-02,7.210000E-04
16,2,2,6.096363E-02,1.038974E+00,1.280300E-02,5.631493E-02,2.815746E-02,7.210000E-04
16,2,3,6.135241E-02,1.038974E+00,1.286600E-02,5.603917E-02,2.801959E-02,7.210000E-04
16,2,4,6.135241E-02,1.018340E+00,1.295900E-02,5.563701E-02,2.781850E-02,7.210000E-04
16,2,6,6.096363E-02,1.038974E+00,1.291900E-02,5.580927E-02,2.790464E-02,7.210000E-04
16,2,8,6.135241E-02,1.038974E+00,1.278800E-02,5.638098E-02,2.819049E-02,7.210000E-04
16,2,12,6.135241E-02,1.038974E+00,1.321800E-02,5.454683E-02,2.727342E-02,7.210000E-04
16,2,16,6.135241E-02,1.038974E+00,1.341500E-02,5.374581E-02,2.687290E-02,7.210000E-04
16,2,18,6.135241E-02,1.019947E+00,1.343300E-02,5.367379E-02,2.683689E-02,7.210000E-04
16,2,36,6.135241E-02,1.038974E+00,1.352700E-02,5.330081E-02,2.665040E-02,7.210000E-04
16,3,1,6.135241E-02,1.038974E+00,2.605900E-02,2.766798E-02,9.222661E-03,7.210000E-04
16,3,2,6.135241E-02,1.038974E+00,2.615300E-02,2.756854E-02,9.189513E-03,7.210000E-04
16,3,3,6.096363E-02,1.038974E+00,2.501000E-02,2.882847E-02,9.609490E-03,7.210000E-04
16,3,4,6.135241E-02,1.038974E+00,2.558700E-02,2.817837E-02,9.392791E-03,7.210000E-04
16,3,6,6.135241E-02,1.038974E+00,3.721700E-02,1.937287E-02,6.457622E-03,7.210000E-04
16,3,8,6.096363E-02,1.038974E+00,3.725400E-02,1.935363E-02,6.451209E-03,7.210000E-04
16,3,12,6.135241E-02,1.038974E+00,2.525200E-02,2.855219E-02,9.517398E-03,7.210000E-04
16,3,16,6.135241E-02,1.038974E+00,2.665500E-02,2.704933E-02,9.016445E-03,7.210000E-04
16,3,18,6.135241E-02,1.038974E+00,3.622500E-02,1.990338E-02,6.634461E-03,7.210000E-04
