n,p,th,u,e,Tp,Sp=T1/Tp,eff=Sp/p,T1
16,1,36,6.135241E-02,1.038974E+00,2.445000E-03,2.948875E-01,2.948875E-01,7.210000E-04
16,2,18,6.135241E-02,1.019947E+00,1.343300E-02,5.367379E-02,2.683689E-02,7.210000E-04
16,3,12,6.135241E-02,1.038974E+00,2.525200E-02,2.855219E-02,9.517398E-03,7.210000E-04
16,6,6,6.135241E-02,1.038974E+00,1.249350E-01,5.771001E-03,9.618335E-04,7.210000E-04
16,12,3,6.135241E-02,1.038974E+00,1.352210E-01,5.332012E-03,4.443343E-04,7.210000E-04
16,18,2,6.135241E-02,1.038974E+00,5.130500E-02,1.405321E-02,7.807340E-04,7.210000E-04
16,36,1,6.135241E-02,1.038974E+00,2.605310E-01,2.767425E-03,7.687292E-05,7.210000E-04
32,1,36,6.211444E-02,1.043379E+00,2.803000E-03,8.658580E-01,8.658580E-01,2.427000E-03
32,2,18,6.182407E-02,1.028262E+00,1.359500E-02,1.785215E-01,8.926076E-02,2.427000E-03
32,3,12,6.221244E-02,1.038172E+00,2.677500E-02,9.064426E-02,3.021475E-02,2.427000E-03
32,6,6,6.221244E-02,1.043379E+00,1.303550E-01,1.861839E-02,3.103065E-03,2.427000E-03
32,12,3,6.221244E-02,1.043379E+00,2.150260E-01,1.128701E-02,9.405839E-04,2.427000E-03
32,18,2,6.221244E-02,1.043379E+00,3.233890E-01,7.504893E-03,4.169385E-04,2.427000E-03
32,36,1,6.221244E-02,1.043379E+00,3.120760E-01,7.776952E-03,2.160264E-04,2.427000E-03
64,1,36,6.208620E-02,1.041250E+00,4.340000E-03,2.735714E+00,2.735714E+00,1.187300E-02
64,2,18,6.230618E-02,1.044056E+00,1.398500E-02,8.489811E-01,4.244905E-01,1.187300E-02
64,3,12,6.240352E-02,1.045246E+00,3.379500E-02,3.513242E-01,1.171081E-01,1.187300E-02
64,6,6,6.242807E-02,1.045246E+00,1.365500E-01,8.694984E-02,1.449164E-02,1.187300E-02
64,12,3,6.240352E-02,1.045246E+00,2.142530E-01,5.541579E-02,4.617983E-03,1.187300E-02
64,18,2,6.240352E-02,1.045246E+00,3.946060E-01,3.008824E-02,1.671569E-03,1.187300E-02
64,36,1,6.242807E-02,1.045246E+00,2.847054E+00,4.170276E-03,1.158410E-04,1.187300E-02
256,1,36,6.248941E-02,1.046416E+00,3.732800E-02,3.533648E+00,3.533648E+00,1.319040E-01
256,2,18,6.249550E-02,1.046599E+00,2.763300E-02,4.773423E+00,2.386712E+00,1.319040E-01
256,3,12,6.248327E-02,1.046599E+00,6.497000E-02,2.030229E+00,6.767431E-01,1.319040E-01
256,6,6,6.249243E-02,1.046599E+00,1.311120E-01,1.006041E+00,1.676734E-01,1.319040E-01
256,12,3,6.248941E-02,1.046606E+00,2.318000E-01,5.690423E-01,4.742019E-02,1.319040E-01
256,18,2,6.249397E-02,1.046681E+00,4.911690E-01,2.685512E-01,1.491951E-02,1.319040E-01
256,36,1,6.249550E-02,1.046681E+00,3.066989E+00,4.300765E-02,1.194657E-03,1.319040E-01
512,1,36,6.249849E-02,1.046795E+00,1.117340E-01,4.244232E+00,4.244232E+00,4.742250E-01
512,2,18,6.249620E-02,1.046836E+00,8.183800E-02,5.794680E+00,2.897340E+00,4.742250E-01
512,3,12,6.249888E-02,1.046854E+00,1.102470E-01,4.301478E+00,1.433826E+00,4.742250E-01
512,6,6,6.249200E-02,1.046871E+00,2.029120E-01,2.337097E+00,3.895161E-01,4.742250E-01
512,12,3,6.249583E-02,1.046871E+00,2.779390E-01,1.706220E+00,1.421850E-01,4.742250E-01
512,18,2,6.249888E-02,1.046836E+00,4.543190E-01,1.043815E+00,5.798972E-02,4.742250E-01
512,36,1,6.249888E-02,1.046871E+00,3.020885E+00,1.569821E-01,4.360615E-03,4.742250E-01
1024,1,36,6.249790E-02,1.046976E+00,4.591290E-01,4.162793E+00,4.162793E+00,1.911259E+00
1024,2,18,6.249924E-02,1.046957E+00,2.443460E-01,7.821937E+00,3.910968E+00,1.911259E+00
1024,3,12,6.249896E-02,1.046945E+00,3.304040E-01,5.784612E+00,1.928204E+00,1.911259E+00
1024,6,6,6.249962E-02,1.046949E+00,3.163910E-01,6.040813E+00,1.006802E+00,1.911259E+00
1024,12,3,6.249962E-02,1.046976E+00,4.327370E-01,4.416676E+00,3.680563E-01,1.911259E+00
1024,18,2,6.249972E-02,1.046972E+00,5.469500E-01,3.494394E+00,1.941330E-01,1.911259E+00
1024,36,1,6.249972E-02,1.046976E+00,3.095805E+00,6.173706E-01,1.714918E-02,1.911259E+00
2048,1,36,6.249952E-02,1.047007E+00,1.375820E+00,5.875906E+00,5.875906E+00,8.084189E+00
2048,2,18,6.249988E-02,1.047018E+00,7.417560E-01,1.089872E+01,5.449359E+00,8.084189E+00
2048,3,12,6.249976E-02,1.046995E+00,1.034756E+00,7.812652E+00,2.604217E+00,8.084189E+00
2048,6,6,6.249991E-02,1.047023E+00,8.255120E-01,9.792939E+00,1.632157E+00,8.084189E+00
2048,12,3,6.249993E-02,1.047023E+00,9.261280E-01,8.729019E+00,7.274183E-01,8.084189E+00
2048,18,2,6.249991E-02,1.047023E+00,1.100374E+00,7.346765E+00,4.081536E-01,8.084189E+00
2048,36,1,6.249993E-02,1.047023E+00,4.865029E+00,1.661694E+00,4.615816E-02,8.084189E+00
4096,1,36,6.249980E-02,1.047047E+00,5.436190E+00,6.326387E+00,6.326387E+00,3.439144E+01
4096,2,18,6.249993E-02,1.047046E+00,2.858689E+00,1.203049E+01,6.015247E+00,3.439144E+01
4096,3,12,6.249997E-02,1.047047E+00,3.387846E+00,1.015142E+01,3.383806E+00,3.439144E+01
4096,6,6,6.249997E-02,1.047047E+00,2.683369E+00,1.281652E+01,2.136086E+00,3.439144E+01
4096,12,3,6.249998E-02,1.047045E+00,2.877735E+00,1.195087E+01,9.959060E-01,3.439144E+01
4096,18,2,6.249998E-02,1.047047E+00,3.160415E+00,1.088194E+01,6.045521E-01,3.439144E+01
4096,36,1,6.249998E-02,1.047047E+00,7.411972E+00,4.639985E+00,1.288885E-01,3.439144E+01
8192,1,36,6.249999E-02,1.047059E+00,2.159030E+01,6.753024E+00,6.753024E+00,1.457998E+02
8192,2,18,6.249999E-02,1.047059E+00,1.123698E+01,1.297501E+01,6.487503E+00,1.457998E+02
8192,3,12,6.249997E-02,1.047059E+00,1.350203E+01,1.079836E+01,3.599455E+00,1.457998E+02
8192,6,6,6.250000E-02,1.047059E+00,1.013905E+01,1.438003E+01,2.396671E+00,1.457998E+02
8192,12,3,6.250000E-02,1.047059E+00,1.024582E+01,1.423018E+01,1.185848E+00,1.457998E+02
8192,18,2,6.249999E-02,1.047059E+00,1.054620E+01,1.382487E+01,7.680482E-01,1.457998E+02
8192,36,1,6.250000E-02,1.047059E+00,1.600261E+01,9.111002E+00,2.530834E-01,1.457998E+02
16384,1,36,6.250000E-02,1.047065E+00,8.927343E+01,6.916726E+00,6.916726E+00,6.174798E+02
16384,2,18,6.250000E-02,1.047065E+00,4.441231E+01,1.390335E+01,6.951675E+00,6.174798E+02
16384,3,12,6.250000E-02,1.047064E+00,5.583350E+01,1.105931E+01,3.686436E+00,6.174798E+02
16384,6,6,6.250000E-02,1.047065E+00,4.175794E+01,1.478713E+01,2.464521E+00,6.174798E+02
16384,12,3,6.250000E-02,1.047065E+00,4.173763E+01,1.479432E+01,1.232860E+00,6.174798E+02
16384,18,2,6.250000E-02,1.047065E+00,4.183185E+01,1.476100E+01,8.200555E-01,6.174798E+02
16384,36,1,6.250000E-02,1.047065E+00,5.142002E+01,1.200855E+01,3.335708E-01,6.174798E+02
