p,th,u,e,Tp,n,T1,Sp=T1/Tp,eff=Sp/p
36,18,0.06250,1.04687,5.074341,512,0.885645,0.17453,0.00485
16,8,0.06250,1.04687,0.725605,512,0.885645,1.22056,0.07629
1,1,0.06250,1.04687,0.474225,512,0.885645,1.86756,1.86756
8,4,0.06250,1.04680,0.200528,512,0.885645,4.41657,0.55207
2,8,0.06250,1.04680,0.076268,512,0.885645,11.61228,5.80614
4,12,0.06250,1.04687,0.108599,512,0.885645,8.15519,2.03880
36,18,0.06250,1.04698,4.950787,1024,3.769123,0.76132,0.02115
1,1,0.06250,1.04698,1.911259,1024,3.769123,1.97206,1.97206
16,8,0.06250,1.04698,0.788238,1024,3.769123,4.78171,0.29886
4,1,0.06250,1.04698,0.557665,1024,3.769123,6.75876,1.68969
16,3,0.06250,1.04698,0.571557,1024,3.769123,6.59448,0.41216
2,8,0.06250,1.04695,0.215331,1024,3.769123,17.50386,8.75193
4,16,0.06250,1.04693,0.267835,1024,3.769123,14.07256,3.51814
1,1,0.06250,1.04702,8.084189,2048,16.091858,1.99053,1.99053
36,18,0.06250,1.04702,7.040044,2048,16.091858,2.28576,0.06349
4,2,0.06250,1.04702,1.34739,2048,16.091858,11.94298,2.98575
16,4,0.06250,1.04702,1.145253,2048,16.091858,14.05092,0.87818
3,16,0.06250,1.04702,1.00278,2048,16.091858,16.04725,5.34908
2,36,0.06250,1.04702,0.721619,2048,16.091858,22.29966,11.14983
4,12,0.06250,1.04702,0.755339,2048,16.091858,21.30415,5.32604
1,1,0.06250,1.04705,34.391441,4096,68.282392,1.98545,1.98545
36,18,0.06250,1.04705,9.399781,4096,68.282392,7.26425,0.20178
2,3,0.06250,1.04705,6.361214,4096,68.282392,10.73418,5.36709
18,8,0.06250,1.04705,3.152753,4096,68.282392,21.65802,1.20322
12,36,0.06250,1.04704,2.726301,4096,68.282392,25.04580,2.08715
4,16,0.06250,1.04705,2.64936,4096,68.282392,25.77316,6.44329
6,12,0.06250,1.04705,2.523454,4096,68.282392,27.05910,4.50985
1,1,0.06250,1.04706,145.799818,8192,289.4238,1.98508,1.98508
1,2,0.06250,1.04706,74.129735,8192,289.4238,3.90429,3.90429
4,1,0.06250,1.04706,37.111595,8192,289.4238,7.79874,1.94969
4,2,0.06250,1.04706,20.516106,8192,289.4238,14.10715,3.52679
36,18,0.06250,1.04706,17.116672,8192,289.4238,16.90888,0.46969
36,4,0.06250,1.04706,15.654532,8192,289.4238,18.48818,0.51356
3,8,0.06250,1.04706,13.875103,8192,289.4238,20.85922,6.95307
2,16,0.06250,1.04706,11.181569,8192,289.4238,25.88401,12.94200
18,8,0.06250,1.04706,10.420211,8192,289.4238,27.77523,1.54307
12,36,0.06250,1.04706,10.090249,8192,289.4238,28.68351,2.39029
8,12,0.06250,1.04706,9.800463,8192,289.4238,29.53165,3.69146
8,16,0.06250,1.04706,9.939969,8192,289.4238,29.11717,3.63965
8,12,0.06250,1.04707,40.766678,16384,1234.396154,30.27954,3.78494
16,6,0.06250,1.04707,40.880339,16384,1234.396154,30.19535,1.88721
8,16,0.06250,1.04707,41.260718,16384,1234.396154,29.91698,3.73962
6,36,0.06250,1.04706,41.444976,16384,1234.396154,29.78398,4.96400
12,2,0.06250,1.04707,43.10132,16384,1234.396154,28.63940,2.38662
36,4,0.06250,1.04707,49.147454,16384,1234.396154,25.11618,0.69767
4,4,0.06250,1.04707,51.776192,16384,1234.396154,23.84100,5.96025
1,18,0.06250,1.04707,89.669732,16384,1234.396154,13.76603,13.76603
2,3,0.06250,1.04707,112.577425,16384,1234.396154,10.96486,5.48243
2,1,0.06250,1.04707,308.899972,16384,1234.396154,3.99610,1.99805
1,4,0.06250,1.04707,176.798723,16384,1234.396154,6.98193,6.98193
