Processes,Thread=1,Thread=2,Thread=8,Thread=36
1,6.174798E+02,3.171956E+02,1.097055E+02,8.927343E+01
2,3.089000E+02,1.574979E+02,5.416437E+01,4.458945E+01
3,2.073900E+02,1.148720E+02,5.646032E+01,5.604048E+01
4,1.572596E+02,8.693238E+01,4.314681E+01,4.249215E+01
6,1.102293E+02,6.204062E+01,4.178181E+01,4.144498E+01
8,8.669200E+01,5.182738E+01,4.115636E+01,4.154543E+01
12,6.365200E+01,4.310132E+01,4.092585E+01,4.148660E+01
16,5.064756E+01,4.250397E+01,4.140603E+01,4.156513E+01
18,4.476399E+01,4.183185E+01,4.186483E+01,4.164100E+01
36,5.142002E+01,4.930061E+01,4.927885E+01,4.948230E+01
